GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dinosaur-service,com.froneus.dinosaur.infrastructure.adapter.out.persistence.mapper,DinosaurPersistenceMapper,103,0,14,0,29,0,15,0,7,0
dinosaur-service,com.froneus.dinosaur.infrastructure.adapter.in.messaging,DinosaurEventConsumer,125,0,0,0,27,0,3,0,3,0
dinosaur-service,com.froneus.dinosaur.domain.exception,InvalidDinosaurDateException,0,4,0,0,0,2,0,1,0,1
dinosaur-service,com.froneus.dinosaur.domain.exception,DinosaurNotFoundException,0,4,0,0,0,1,0,1,0,1
dinosaur-service,com.froneus.dinosaur.domain.exception,DuplicateDinosaurNameException,0,4,0,0,0,2,0,1,0,1
dinosaur-service,com.froneus.dinosaur.domain.exception,DinosaurExtinctException,4,0,0,0,1,0,1,0,1,0
dinosaur-service,com.froneus.dinosaur.infrastructure.adapter.out.persistence,DinosaurPostgresAdapter,166,0,0,0,30,0,11,0,11,0
dinosaur-service,com.froneus.dinosaur.application.usecase,UpdateDinosaurStatusService,0,72,1,3,0,15,1,6,0,5
dinosaur-service,com.froneus.dinosaur.application.usecase,CreateDinosaurService,0,73,0,2,0,18,0,4,0,3
dinosaur-service,com.froneus.dinosaur.application.usecase,GetDinosaurService,0,25,0,0,0,6,0,4,0,4
dinosaur-service,com.froneus.dinosaur.application.usecase,UpdateDinosaurService,0,120,0,14,0,21,0,11,0,4
dinosaur-service,com.froneus.dinosaur.application.usecase,DeleteDinosaurService,0,33,0,0,0,9,0,3,0,3
dinosaur-service,com.froneus.dinosaur.infrastructure.exception,GlobalExceptionHandler,72,0,0,0,13,0,11,0,11,0
dinosaur-service,com.froneus.dinosaur.infrastructure.adapter.in.web.controller,DinosaurController,267,0,32,0,51,0,27,0,11,0
dinosaur-service,com.froneus.dinosaur.infrastructure.adapter.out.messaging,RabbitMQEventPublisher,45,0,0,0,9,0,3,0,3,0
dinosaur-service,com.froneus.dinosaur.infrastructure.adapter.out.messaging,OutboxPublisher,79,0,4,0,20,0,5,0,3,0
dinosaur-service,com.froneus.dinosaur.infrastructure.adapter.out.persistence.entity,DinosaurMessageEntity,59,0,0,0,18,0,16,0,16,0
dinosaur-service,com.froneus.dinosaur.infrastructure.adapter.out.persistence.entity,DinosaurReadEntity,27,0,0,0,9,0,9,0,9,0
dinosaur-service,com.froneus.dinosaur.infrastructure.adapter.out.persistence.entity,DinosaurEntity,66,0,0,0,19,0,19,0,19,0
dinosaur-service,com.froneus.dinosaur.infrastructure.adapter.out.redis,DinosaurRedisAdapter,66,0,2,0,15,0,7,0,6,0
dinosaur-service,com.froneus.dinosaur.infrastructure.adapter.out.redis,DinosaurOutboxRedisAdapter,130,0,6,0,31,0,8,0,5,0
dinosaur-service,com.froneus.dinosaur.infrastructure.config,BeanConfig,32,0,0,0,6,0,6,0,6,0
dinosaur-service,com.froneus.dinosaur.infrastructure.config,RabbitMQConfig,52,0,0,0,12,0,7,0,7,0
dinosaur-service,com.froneus.dinosaur,DinosaurServiceApplication,8,0,0,0,3,0,2,0,2,0
dinosaur-service,com.froneus.dinosaur.domain.model,DinosaurReadModel.Builder,5,38,0,0,1,8,1,8,1,8
dinosaur-service,com.froneus.dinosaur.domain.model,DinosaurEvent.EventType,0,27,0,0,0,5,0,1,0,1
dinosaur-service,com.froneus.dinosaur.domain.model,Dinosaur,0,101,0,6,0,32,0,13,0,10
dinosaur-service,com.froneus.dinosaur.domain.model,DinosaurStatus,0,21,0,0,0,4,0,1,0,1
